Year,Coroner_area,Region,Country,Country2,PM_NIQ_M,PM_NIQ_F,PM_NIQ_T,PM_IQ_M,PM_IQ_F,PM_IQ_T,PM_PIQ_M,PM_PIQ_F,PM_PIQ_T,PM_TDR_M,PM_TDR_F,PM_TDR_T,WPM_NIQ_M,WPM_NIQ_F,WPM_NIQ_T,WPM_IQ_M,WPM_IQ_F,WPM_IQ_T,WPM_PIQ_M,WPM_PIQ_F,WPM_PIQ_T,WPM_TDR_M,WPM_TDR_F,WPM_TDR_T,TDR_NIQ_M,TDR_NIQ_F,TDR_NIQ_T,TDR_IQ_M,TDR_IQ_F,TDR_IQ_T,TDR_PIQ_M,TDR_PIQ_F,TDR_PIQ_T,TDR_TDR_M,TDR_TDR_F,TDR_TDR_T,Transferred,Sex_unknown,PM_Standard,PM_NonStandard,PM_Hist,PM_Tox,Out_Eng,Elsewhere,Custody_prison,Custody_police,Custody_imm,Custody_MHA,Custody_probation,Custody_STC,Custody_SCH,Custody_ROTL,Custody_prison7,CUSTODY_DOLS,Custody_Total,KUL_M,KUL_F,KUL_T,KL_M,KL_F,KL_T,Suicide_M,Suicide_F,Suicide_T,Abor_M,Abor_F,Abor_T,Negl_M,Negl_F,Negl_T,D_Drugs_M,D_Drugs_F,D_Drugs_T,ND_Drugs_M,ND_Drugs_F,ND_Drugs_T,DRUGS_ALC_M,DRUGS_ALC_F,DRUGS_ALC_T,COLLISION_M,COLLISION_F,COLLISION_T,WAB_M,WAB_F,WAB_T,IND_M,IND_F,IND_T,DBMIS_M,DBMIS_F,DBMIS_T,Still_M,Still_F,Still_T,DBNC_M,DBNC_F,DBNC_T,Open_M,Open_F,Open_T,Dis_M,Dis_F,Dis_T,Unclass_M,Unclass_F,Unclass_T,Total_Verdicts_M,Total_Verdicts_F,Total_Verdicts_T,Age_0_1_years,Age_1_14_years,Age_15_24_years,Age_25_44_years,Age_45_64_years,Age_over65_years,Age_not_known,Murder_T,Manslaughter_T,Infanticide_T,RTA_T,Aid_suicide_T,Corp_Manslaughter_T,Other_Charges_T,Disaster_T,All_Charges_T,Inq_with_juries,Inq_without_juries,Inq_Total,Inq_held_HC,Inq_quashed_HC,Inq_Total_treasure_tr,TA96_Finds,TA96_Inq,TA96_Verdicts,Exhumations,Cases_NIQ_1_week_or_less,Cases_NIQ_up_to_1_month,Cases_NIQ_over_1_month,Cases_NIQ_certs_total,Cases_NIQ_no_certs_total,Cases_IQ_1_week_or_less,Cases_IQ_up_to_1_month,Cases_IQ_over_1_month,Cases_IQ_certs_total_EW,Cases_IQ_certs_total_AB,Cases_PIQ_1_week_or_less,Cases_PIQ_up_to_1_month,Cases_PIQ_over_1_month,Cases_PIQ_certs_total,Cases_PIQ_no_certs_total,Cases_1_month_or_less_EW,Cases_1_to_3_months_EW,Cases_3_to_6_months_EW,Cases_6_to_12_months_EW,Cases_over_12_months_EW,Cases_Total_EW,Cases_Total_AB,Cases_Total,Inq_op_6_months_or_less_EW,Inq_op_6_to_12_months_EW,Inq_op_1_to_2_years_EW,Inq_op_over_2_years_EW,Inq_op_Total_EW,Inq_op_6_months_or_less_AB,Inq_op_6_to_12_months_AB,Inq_op_1_to_2_years_AB,Inq_op_over_2_years_AB,Inq_op_Total_AB,Inq_op_Total,WPM_NIQ_TDR,WPM_TDR_TDR,TDR_NIQ_TDR,TDR_TDR_TDR,Grouped_Verdicts_M,Grouped_Verdicts_F,Grouped_Verdicts_T,Inq_op_6_months_or_less_T,Inq_op_6_to_12_months_T,Inq_op_1_to_2_years_T,Inq_op_over_2_years_T,PM_less_invasive,PM_less_invasive_only,PM_HO_forensic_pathologist,PM_defence_lawyer_request,Murder_Suspended_T,Manslaughter_Suspended_T,Infanticide_Suspended_T,RTA_Suspended_T,Aid_suicide_Suspended_T,Corp_Manslaughter_Suspended_T,Other_Charges_Suspended_T,Inquiry_Suspended_IA2005_T,General_Power_Suspended_T,All_Charges_Suspended_T
2020,Teesside and Hartlepool,North East,England,England and Wales,345,255,600,189,62,251,129,53,182,663,370,1033,1109,1107,2216,66,37,103,9,12,21,1184,1156,2340,1454,1362,2816,255,99,354,138,65,203,1847,1526,3373,9,1,958,75,377,322,18,7,7,0,0,7,0,0,0,0,1,0,15,0,1,1,0,0,0,74,14,88,0,0,0,0,0,0,0,0,0,0,0,0,61,29,90,3,0,3,0,0,0,33,0,33,52,45,97,0,0,0,17,6,23,1,0,1,0,0,0,64,43,107,305,138,443,3,2,21,134,102,181,0,0,0,0,0,0,0,0,0,0,6,449,455,0,0,0,0,0,0,0,2475,105,193,2773,44,299,46,8,353,1,160,39,1,200,3,30,47,171,160,45,453,2,455,5,0,3,4,12,0,0,0,1,1,13,2217,2341,2817,3374,64,43,107,5,0,3,5,0,0,63,0,6,1,0,5,0,0,0,0,0,12
2020,Gateshead and South Tyneside,North East,England,England and Wales,284,170,454,100,30,130,65,31,96,449,231,680,1305,1624,2929,43,28,71,8,9,17,1356,1661,3017,1589,1794,3383,143,58,201,73,40,113,1805,1892,3697,0,0,664,16,304,177,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,11,0,0,0,0,0,0,0,0,0,0,0,0,49,17,66,1,0,1,0,0,0,26,2,28,38,25,63,0,0,0,22,17,39,3,0,3,0,0,0,16,3,19,165,65,230,0,0,9,57,82,82,0,0,0,0,0,0,0,0,0,0,0,231,231,0,0,0,0,0,0,0,1900,70,18,1988,1395,184,12,5,201,0,97,4,12,113,0,77,43,85,19,7,231,0,231,7,3,7,5,22,0,0,0,0,0,22,2929,3017,3383,3697,16,3,19,7,3,7,5,18,17,11,7,1,0,0,0,0,0,0,0,0,1
2020,Newcastle upon Tyne,North East,England,England and Wales,261,135,396,16,6,22,183,98,281,460,239,699,470,433,903,13,8,21,56,51,107,539,492,1031,731,568,1299,29,14,43,239,149,388,999,731,1730,9,0,674,25,474,207,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,22,0,0,0,0,0,0,0,0,0,0,0,0,28,6,34,1,1,2,0,0,0,17,2,19,45,40,85,0,0,0,22,14,36,4,0,4,0,0,0,113,59,172,248,126,374,3,7,13,62,102,187,0,0,0,0,0,0,0,0,0,0,1,385,386,0,0,0,0,0,0,0,1259,15,3,1277,22,33,2,8,43,0,271,17,1,289,99,1,23,123,190,48,385,1,386,3,1,0,1,5,0,0,0,1,1,6,903,1031,1299,1730,113,59,172,3,1,0,2,11,11,0,0,4,2,0,4,0,0,2,0,0,12
2020,North Tyneside,North East,England,England and Wales,170,113,283,20,9,29,60,29,89,250,151,401,300,317,617,5,9,14,14,16,30,319,342,661,470,430,900,25,18,43,74,45,119,569,493,1062,0,2,390,11,221,120,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,9,2,11,6,9,15,0,0,0,7,0,7,0,0,0,0,0,0,11,12,23,40,27,67,0,0,1,12,15,39,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,858,35,2,895,6,26,6,11,43,0,82,10,0,92,28,0,4,31,30,2,67,0,67,8,0,3,0,11,0,0,1,0,1,12,619,663,902,1064,11,12,23,8,0,4,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sunderland,North East,England,England and Wales,188,103,291,96,25,121,17,9,26,301,137,438,312,320,632,41,31,72,5,2,7,358,353,711,500,423,923,137,56,193,22,11,33,659,490,1149,1,0,406,32,163,138,6,2,1,0,0,2,0,0,0,0,0,0,3,0,1,1,0,0,0,34,10,44,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,3,0,3,0,0,0,21,2,23,34,28,62,0,0,0,5,4,9,2,0,2,0,0,0,21,14,35,129,59,188,1,0,6,40,46,95,0,0,0,0,0,0,0,0,0,0,0,189,189,0,0,0,3,1,1,0,804,40,14,858,65,169,17,7,193,0,25,6,2,33,0,57,61,43,21,7,189,0,189,12,7,2,4,25,0,0,0,0,0,25,632,711,923,1149,21,14,35,12,7,2,4,3,3,10,0,1,0,0,0,0,0,0,0,0,1
2020,Cheshire,North West,England,England and Wales,722,393,1115,227,81,308,40,23,63,989,497,1486,484,476,960,145,128,273,1,1,2,630,605,1235,1206,869,2075,372,209,581,41,24,65,1619,1102,2721,1,0,1443,43,360,369,19,20,8,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,54,16,70,0,0,0,0,0,0,0,0,0,0,0,0,30,5,35,9,0,9,0,0,0,49,2,51,37,54,91,0,0,0,23,25,48,5,6,11,0,0,0,71,55,126,278,163,441,2,3,6,58,83,289,0,0,0,0,0,0,0,0,0,0,0,444,444,0,0,0,12,10,10,0,1743,76,157,1976,99,546,14,13,573,8,59,2,0,61,4,171,14,114,111,26,436,8,444,192,96,81,54,423,0,6,4,3,13,436,960,1235,2075,2721,71,55,126,192,102,85,57,1,0,23,1,2,0,0,0,0,0,1,0,0,3
2020,Cumbria,North West,England,England and Wales,314,125,439,128,45,173,68,56,124,510,226,736,568,517,1085,63,51,114,7,3,10,638,571,1209,882,642,1524,191,96,287,75,59,134,1148,797,1945,6,0,736,0,312,333,38,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,13,63,0,0,0,0,1,1,0,0,0,0,0,0,58,20,78,15,3,18,0,0,0,21,4,25,40,27,67,0,0,0,35,40,75,6,1,7,0,0,0,21,14,35,246,123,369,1,2,15,87,94,170,0,0,0,0,0,0,0,0,0,0,0,386,386,0,1,0,1,2,1,0,1350,33,79,1462,62,211,14,58,283,4,24,7,0,31,103,24,67,128,112,52,383,3,386,82,23,17,3,125,1,1,0,0,2,127,1085,1209,1524,1945,21,14,35,83,24,17,3,50,50,0,0,3,1,0,12,0,0,1,0,0,17
2020,Manchester City,North West,England,England and Wales,496,295,791,172,104,276,137,70,207,805,469,1274,551,425,976,215,168,383,0,0,0,766,593,1359,1047,720,1767,387,272,659,137,70,207,1571,1062,2633,53,11,1106,168,264,241,93,117,8,0,0,2,0,0,0,0,0,0,10,1,1,2,0,0,0,32,9,41,0,0,0,0,0,0,0,0,0,0,0,0,78,26,104,2,0,2,0,0,0,18,0,18,67,111,178,0,0,0,90,65,155,6,5,11,0,0,0,130,111,241,424,328,752,23,12,18,88,184,427,0,0,0,0,0,0,0,0,0,0,1,755,756,0,0,0,0,0,0,0,869,413,213,1495,283,321,289,48,658,1,17,182,4,203,4,94,57,92,180,327,750,6,756,208,146,153,80,587,1,1,2,1,5,592,987,1370,1778,2644,130,111,241,209,147,155,81,26,21,41,3,3,0,0,2,0,0,0,0,0,5
2020,Manchester North,North West,England,England and Wales,446,232,678,165,84,249,41,24,65,652,340,992,371,344,715,138,115,253,13,7,20,522,466,988,817,576,1393,303,199,502,54,31,85,1174,806,1980,3,1,948,44,314,251,51,12,0,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,35,10,45,0,0,0,0,0,0,0,0,0,0,0,0,25,6,31,5,1,6,0,0,0,28,3,31,49,34,83,0,0,0,47,28,75,8,2,10,0,0,0,82,74,156,279,158,437,12,5,6,62,107,245,0,0,0,0,0,0,0,0,0,0,1,445,446,0,0,0,0,0,0,0,1260,101,33,1394,0,326,144,27,497,5,43,20,1,64,21,15,41,155,152,75,438,8,446,332,80,31,12,455,2,0,2,1,5,460,716,989,1394,1981,82,74,156,334,80,33,13,61,10,30,1,2,2,0,3,0,0,2,0,0,9
2020,Manchester South,North West,England,England and Wales,460,303,763,211,118,329,1,2,3,672,423,1095,650,608,1258,215,180,395,5,7,12,870,795,1665,1110,911,2021,426,298,724,6,9,15,1542,1218,2760,16,0,1042,53,320,323,13,14,0,0,0,6,0,0,0,0,0,0,6,2,1,3,0,0,0,23,10,33,0,0,0,2,2,4,0,0,0,0,0,0,45,15,60,8,1,9,0,0,0,18,5,23,71,59,130,0,0,0,30,28,58,6,2,8,0,0,0,167,145,312,372,268,640,10,4,8,64,123,431,0,0,0,0,0,0,0,0,0,0,3,641,644,0,0,0,3,0,0,0,1453,553,9,2015,6,314,348,59,721,3,2,0,13,15,0,210,24,195,168,43,640,4,644,146,37,10,3,196,1,0,0,1,2,198,1258,1665,2021,2760,167,145,312,147,37,10,4,12,11,36,0,1,0,0,3,0,0,0,0,0,4
2020,Manchester West,North West,England,England and Wales,644,355,999,282,125,407,63,34,97,989,514,1503,956,735,1691,149,85,234,3,3,6,1108,823,1931,1600,1090,2690,431,210,641,66,37,103,2097,1337,3434,74,0,1481,22,330,372,60,16,2,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,42,14,56,0,0,0,0,0,0,0,0,0,0,0,0,45,13,58,7,1,8,0,0,0,26,2,28,50,28,78,0,0,0,18,18,36,12,18,30,0,0,0,89,60,149,289,154,443,1,0,12,83,118,229,0,0,0,0,0,0,0,0,0,0,0,458,458,0,0,0,0,0,0,0,2283,224,69,2576,114,627,9,1,637,4,0,1,0,1,102,25,82,193,127,25,452,6,458,265,72,38,20,395,2,2,3,1,8,403,1691,1931,2690,3434,89,60,149,267,74,41,21,37,19,53,2,3,0,0,12,0,0,0,0,0,15
2020,Lancashire and Blackburn with Darwen,North West,England,England and Wales,933,520,1453,279,119,398,15,12,27,1227,651,1878,855,817,1672,207,134,341,22,17,39,1084,968,2052,1788,1337,3125,486,253,739,37,29,66,2311,1619,3930,27,0,1818,60,119,389,58,17,12,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,77,23,100,0,0,0,0,0,0,0,0,0,0,0,0,49,9,58,9,8,17,0,0,0,30,1,31,77,73,150,0,0,0,51,29,80,7,8,15,0,0,0,58,32,90,358,183,541,4,1,29,101,146,260,0,0,0,0,0,0,0,0,0,0,7,545,552,0,1,0,0,0,0,0,2593,89,48,2730,395,602,65,70,737,2,24,15,25,64,2,100,192,156,49,52,549,3,552,189,101,42,20,352,1,1,0,1,3,355,1672,2052,3125,3930,58,32,90,190,102,42,21,1733,1663,55,7,4,0,0,7,0,0,0,0,0,11
2020,Blackpool and the Fylde,North West,England,England and Wales,243,124,367,57,41,98,31,15,46,331,180,511,227,244,471,65,85,150,4,2,6,296,331,627,470,368,838,122,126,248,35,17,52,627,511,1138,14,0,203,308,231,138,16,5,1,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,15,11,26,0,0,0,0,0,0,0,0,0,0,0,0,26,16,42,2,1,3,0,0,0,8,0,8,27,32,59,0,0,0,35,51,86,1,1,2,0,0,0,47,40,87,161,152,313,5,0,4,33,80,191,0,0,0,0,0,0,0,0,0,0,1,319,320,0,0,0,0,0,0,0,744,17,16,777,61,231,13,3,247,1,44,5,0,49,3,141,11,99,41,27,319,1,320,73,2,6,0,81,0,0,0,2,2,83,471,627,838,1138,47,40,87,73,2,6,2,11,11,17,2,3,1,0,2,0,0,1,0,0,7
