date,geography,geography code,Rural Urban,Variable: All usual residents; measures: Value,Variable: Males; measures: Value,Variable: Females; measures: Value,Variable: Lives in a household; measures: Value,Variable: Lives in a communal establishment; measures: Value,Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value,Variable: Area (Hectares); measures: Value,Variable: Density (number of persons per hectare); measures: Value
2011,Conwy,W06000003,Total,115228,55749,59479,112531,2697,1520,112582.88,1
2011,Denbighshire,W06000004,Total,93734,45987,47747,92483,1251,1211,83674.27,1.1
2011,Flintshire,W06000005,Total,152506,75247,77259,151679,827,1719,43753.91,3.5
2011,Wrexham,W06000006,Total,134844,67052,67792,133244,1600,1370,50377.45,2.7
2011,Powys,W06000023,Total,132976,65683,67293,131047,1929,2117,518037.01,0.3
2011,Ceredigion,W06000008,Total,75922,37793,38129,71444,4478,1203,178545.43,0.4
2011,Pembrokeshire,W06000009,Total,122439,59823,62616,120545,1894,1728,161873.87,0.8
2011,Carmarthenshire,W06000010,Total,183777,89837,93940,181227,2550,2254,237035.46,0.8
2011,Swansea,W06000011,Total,239023,118087,120936,234363,4660,2558,37974.42,6.3
2011,Neath Port Talbot,W06000012,Total,139812,68450,71362,138682,1130,1192,44125.95,3.2
2011,Bridgend,W06000013,Total,139178,68789,70389,136842,2336,1501,25074.74,5.6
2011,Vale of Glamorgan,W06000014,Total,126336,61522,64814,124259,2077,1857,33095.28,3.8
2011,Cardiff,W06000015,Total,346090,169893,176197,334551,11539,3917,14038.2,24.7
2011,Rhondda Cynon Taff,W06000016,Total,234410,114635,119775,231885,2525,1881,42412.97,5.5
2011,Merthyr Tydfil,W06000024,Total,58802,28791,30011,58334,468,474,11139.29,5.3
2011,Caerphilly,W06000018,Total,178806,87701,91105,177755,1051,1436,27745.02,6.4
2011,Blaenau Gwent,W06000019,Total,69814,34325,35489,69239,575,521,10876.16,6.4
2011,Torfaen,W06000020,Total,91075,44382,46693,90360,715,792,12564.08,7.2
2011,Monmouthshire,W06000021,Total,91323,44922,46401,89694,1629,1682,84914.94,1.1
2011,Newport,W06000022,Total,145736,71380,74356,144103,1633,1509,19051.6,7.6
