,Year,England Wales deaths,England deaths,Wales deaths,England reported deaths,Wales reported deaths,England report/mortality,Wales report/mortality,Wales Population,England Population,England mortality rate,Wales mortality rate,England preventable deaths,Wales preventable deaths,England preventable/deaths,Wales preventable/deaths,England Wales reported deaths,England Wales population,England Wales preventable deaths,England preventable/population,Wales preventable/population,preventable
6,2014,500314,468875,31439,192016,13422,0.409524926686217,0.4269219758898184,3170000,56550000,0.008291335101679929,0.009917665615141956,99188.7,6016.660000000001,0.21154614769394828,0.19137567988803716,205438,59720000,105205.36,0.001754,0.0018980000000000002,105205.36
5,2015,528507,495309,33198,197606,13306,0.3989549957703171,0.40080727754684015,3152900,56287000,0.008799705082878818,0.010529353928129658,79139.522,5129.7683,0.15977808196499557,0.15452040183143562,210912,59439900,84269.2903,0.001406,0.001627,84269.2903
4,2016,523857,490791,33066,206757,13891,0.42127300622872055,0.42009919554829733,3138600,55977200,0.008767694704272454,0.010535270502771936,80327.282,5294.8182,0.16366902001055442,0.1601287788060243,220648,59115800,85622.1002,0.001435,0.001687,85622.1002
3,2017,532130,498882,33248,215469,14317,0.431903736755385,0.4306123676612127,3125200,55619400,0.008969568172256442,0.010638679124536029,79368.8838,5234.71,0.1590935006674925,0.15744435755534167,229786,58744600,84603.5938,0.0014269999999999999,0.001675,84603.5938
2,2018,540265,505859,34406,226909,14302,0.44856175337396387,0.4156833110503982,3113200,55268100,0.009152820523955048,0.011051651034305538,80580.8898,5401.402,0.1592951589276854,0.15699011800267396,241211,58381300,85982.2918,0.001458,0.001735,85982.2918
1,2019,529553,496370,33183,222174,14232,0.4475975582730624,0.42889431335322303,3099100,54786300,0.009060111743264283,0.010707302119970313,80371.5021,5259.1727,0.16191853274774864,0.15848997076816443,236406,57885400,85630.6748,0.001467,0.001697,85630.6748
0,2020,607099,569700,37399,209641,14200,0.36798490433561526,0.3796892965052541,3092000,54316600,0.010488506276166034,0.012095407503234153,80171.30159999999,5009.04,0.14072547235387045,0.13393513195539988,223841,57408600,85180.34159999999,0.0014759999999999999,0.00162,85180.34159999999
