,Year,Wales Population,Wales reported deaths,England Population,England reported deaths,Wales report/1000,England report/1000
0,2014,3092000,14200,54316600,209641,4.592496765847348,3.859611978658458
1,2015,3099100,14232,54786300,222174,4.592300990610177,4.055283893966193
2,2016,3113200,14302,55268100,226909,4.593986894513684,4.105605222542479
3,2017,3125200,14317,55619400,215469,4.5811468066043775,3.873990010679727
4,2018,3138600,13891,55977200,206757,4.425858663098197,3.69359310576449
5,2019,3152900,13306,56287000,197606,4.2202416822607765,3.5106863041199565
6,2020,3170000,13422,56550000,192016,4.234069400630915,3.3955083996463307
